Sick_Lv1_Code,Sick_Lv1_Reason,Sick_Lv1_Description,Sick_Lv2_Code,Sick_Lv2_Reason,Sick_Lv2_Description,reason_short
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17008,S17008 Colorectal cancer,Colorectal cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17009,S17009 Leukaemia,Leukaemia,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17010,S17010 Lung cancer,Lung cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17011,S17011 Melanoma,Melanoma,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17012,S17012 Mesothelioma,Mesothelioma,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17013,S17013 Non-Hodgkin's lymphoma,Non-Hodgkin's lymphoma,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17014,S17014 Oesophageal cancer,Oesophageal cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17015,S17015 Ovarian cancer,Ovarian cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17016,S17016 Pancreatic cancer,Pancreatic cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17017,S17017 Prostate cancer,Prostate cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17018,S17018 Stomach cancer,Stomach cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17019,S17019 Testicular cancer,Testicular cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17020,S17020 Throat cancer,Throat cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17998,S17998 Other types of cancer,Other types of cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17999,S17999 Not specified,Not specified,cancer_related
S18,S18 Blood disorders,Blood disorders,(blank,(blank),,blood_disorder
S18,S18 Blood disorders,Blood disorders,S18001,S18001 Anaemia,Anaemia,blood_disorder
S18,S18 Blood disorders,Blood disorders,S18002,S18002 Sickle-cell disorders,Sickle-cell disorders,blood_disorder
S18,S18 Blood disorders,Blood disorders,S18998,S18998 Other blood disorders,Other blood disorders,blood_disorder
S18,S18 Blood disorders,Blood disorders,S18999,S18999 Not specified,Not specified,blood_disorder
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",(blank,(blank),,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19001,S19001 Angina,Angina,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19002,S19002 Cardiovascular disease,Cardiovascular disease,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19003,S19003 Cardiomyopathy,Cardiomyopathy,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19004,S19004 Cerebrovascular disease,Cerebrovascular disease,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19005,S19005 Deep vein thrombosis (dvt),Deep vein thrombosis (dvt),circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19006,S19006 Disease of the arteries,Disease of the arteries,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19007,S19007 Endocarditis,Endocarditis,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19008,S19008 Heart failure,Heart failure,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19009,S19009 Hypercholesterolemia,Hypercholesterolemia,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19010,S19010 Hyperlipiaemia,Hyperlipiaemia,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19011,S19011 Hypertensive disease,Hypertensive disease,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19012,S19012 Hypotension,Hypotension,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19013,S19013 Mitral valve disorder,Mitral valve disorder,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19014,S19014 Myocardial infarction,Myocardial infarction,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19015,S19015 Mycocarditis,Mycocarditis,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19016,S19016 Pericarditis,Pericarditis,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19017,S19017 Pulmonary heart disease,Pulmonary heart disease,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19018,S19018 Renal disease,Renal disease,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19019,S19019 Rheumatic fever,Rheumatic fever,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19020,S19020 Stroke,Stroke,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19021,S19021 Thrombosis,Thrombosis,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19998,S19998 Other heart or circulatory problems,Other heart or circulatory problems,circulatory
S19,"S19 Heart, cardiac & circulatory problems","Heart, cardiac & circulatory problems",S19999,S19999 Not specified,Not specified,circulatory
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",(blank,(blank),,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20001,S20001 Burns from air and hot gases,Burns from air and hot gases,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20002,S20002 Burns from hot objects,Burns from hot objects,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20003,S20003 Chemical burns,Chemical burns,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20004,S20004 Chilblains,Chilblains,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20005,S20005 Electrical burns,Electrical burns,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20006,S20006 Frostbite,Frostbite,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20007,S20007 Hypothermia,Hypothermia,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20008,S20008 Poisoning by wrong medication,Poisoning by wrong medication,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20009,S20009 Poisoning by wrong substance,Poisoning by wrong substance,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20010,S20010 Poisoning by venomous animals,Poisoning by venomous animals,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20011,S20011 Scalds,Scalds,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20012,S20012 Sunburn,Sunburn,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20998,S20998 Other burns/poisoning,Other burns/poisoning,burns
S20,"S20 Burns, poisoning, frostbite, hypothermia","Burns, poisoning, frostbite, hypothermia",S20999,S20999 Not specified,Not specified,burns
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",(blank,(blank),,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21001,S21001 Allergic rhinitis,Allergic rhinitis,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21002,S21002 Blocked eustachian tubes,Blocked eustachian tubes,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21003,S21003 Blocked nose,Blocked nose,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21004,S21004 Hay fever (seasonal rhinitis),Hay fever (seasonal rhinitis),ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21005,S21005 Hearing loss,Hearing loss,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21006,S21006 Laryngitis,Laryngitis,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21007,S21007 Meniere's disease,Meniere's disease,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21008,S21008 Nose bleed,Nose bleed,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21009,S21009 Otitis externia,Otitis externia,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21010,S21010 Otitis media (glue ear),Otitis media (glue ear),ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21011,S21011 Perforated ear drum,Perforated ear drum,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21012,S21012 Pharyngitis,Pharyngitis,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21013,S21013 Septic throat,Septic throat,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21014,S21014 Sinusitis,Sinusitis,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21015,S21015 Sore throat,Sore throat,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21016,S21016 Throat infection,Throat infection,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21017,S21017 Tinnitus,Tinnitus,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21018,S21018 Tonsillitis,Tonsillitis,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21019,S21019 Vertigo,Vertigo,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21998,S21998 Other ear/nose/throat problems,Other ear/nose/throat problems,ent
S21,"S21 Ear, nose, throat (ENT)","Ear, nose, throat (ENT)",S21999,S21999 Not specified,Not specified,ent
S22,S22 Dental and oral problems,Dental and oral problems,(blank,(blank),,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22001,S22001 Dental problems,Dental problems,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22002,S22002 Broken/chipped tooth,Broken/chipped tooth,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22003,S22003 Dental abscess,Dental abscess,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22004,S22004 Mouth infection,Mouth infection,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22005,S22005 Mouth ulcer,Mouth ulcer,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22006,S22006 Tooth ache,Tooth ache,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22007,S22007 Tooth extraction,Tooth extraction,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22998,S22998 Other dental and oral problems,Other dental and oral problems,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22999,S22999 Not specified,Not specified,dental
S23,S23 Eye problems,Eye problems,(blank,(blank),,eye
S23,S23 Eye problems,Eye problems,S23001,S23001 Blurred vision,Blurred vision,eye
S23,S23 Eye problems,Eye problems,S23002,S23002 Cataract,Cataract,eye
S23,S23 Eye problems,Eye problems,S23003,S23003 Conjunctivitis,Conjunctivitis,eye
S23,S23 Eye problems,Eye problems,S23004,S23004 Detached retina,Detached retina,eye
S23,S23 Eye problems,Eye problems,S23005,S23005 Double vision,Double vision,eye
S23,S23 Eye problems,Eye problems,S23006,S23006 Eye strain,Eye strain,eye
S23,S23 Eye problems,Eye problems,S23007,S23007 Glaucoma,Glaucoma,eye
S23,S23 Eye problems,Eye problems,S23008,S23008 Keratitis,Keratitis,eye
S23,S23 Eye problems,Eye problems,S23009,S23009 Tunnel vision,Tunnel vision,eye
S23,S23 Eye problems,Eye problems,S23998,S23998 Other eye problems,Other eye problems,eye
S23,S23 Eye problems,Eye problems,S23999,S23999 Not specified,Not specified,eye
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,(blank,(blank),,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24001,S24001 Adrenal disorders,Adrenal disorders,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24002,S24002 Cystic fibrosis,Cystic fibrosis,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24003,S24003 Diabetes - Insulin dependent,Diabetes - Insulin dependent,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24004,S24004 Diabetes - non-insulin dependent,Diabetes - non-insulin dependent,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24005,S24005 Parathyroid disorders,Parathyroid disorders,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24006,S24006 Pituitary gland disorders,Pituitary gland disorders,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24007,S24007 Thyroid disorders,Thyroid disorders,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24998,S24998 Other endocrine disorders,Other endocrine disorders,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24999,S24999 Not specified,Not specified,endocrine
S25,S25 Gastrointestinal problems,Gastrointestinal problems,(blank,(blank),,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25001,S25001 Abdominal pain,Abdominal pain,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25002,S25002 Appendicitis,Appendicitis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25003,S25003 Cirrhosis of the liver,Cirrhosis of the liver,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25004,S25004 Coeliac disease,Coeliac disease,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25005,S25005 Colitis,Colitis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25006,S25006 Constipation,Constipation,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25007,S25007 Crohn's disease,Crohn's disease,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25008,S25008 Diarrhoea,Diarrhoea,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25009,S25009 Diverticulitis,Diverticulitis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25010,S25010 Duodenal ulcer,Duodenal ulcer,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25011,S25011 Food allergy,Food allergy,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25012,S25012 Gall bladder disease,Gall bladder disease,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25013,S25013 Gastric ulcer,Gastric ulcer,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25014,S25014 Gastro-intestinal disorder,Gastro-intestinal disorder,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25015,S25015 Gastroenteritis,Gastroenteritis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25016,S25016 Hiatus hernia,Hiatus hernia,gastro
